304,571,418,578,475,578,411,457,354,411,216,499,101,409,83,698,202,690,379,794
290,445,390,444,427,441,427,411,399,330,213,391,170,269,151,508,209,562,413,638
318,547,429,550,465,536,465,509,435,403,239,478,221,391,191,589,232,639,450,756
302,556,407,556,448,541,463,534,420,415,215,481,190,353,157,615,219,664,435,764
267,551,377,549,407,530,442,496,389,411,195,480,162,354,118,612,180,658,403,746
318,560,432,577,473,570,489,517,441,410,229,473,116,348,88,722,222,675,461,792
314,559,428,571,473,557,484,506,439,398,227,477,116,349,87,713,222,667,456,789
309,574,425,572,465,568,469,525,432,411,236,494,194,371,174,639,222,689,449,806
309,571,425,571,467,567,509,519,456,434,226,492,172,371,154,635,217,694,470,768
305,575,419,582,464,575,504,423,438,410,219,493,104,347,75,779,216,690,458,791
